U,E_p,m_cdw,m_sdw,V,S,E_GS,coherence,E_p_bits
-4.758620689655173,0.03994622662340519,-0.7987917248256764,-0.12786781075665657,2.3448275862068964,0.26175595312408173,-15.631910822518838,0.3967473718704254,0.057630223051813534
-4.758620689655173,0.0312900325184462,-0.8088317269729538,-0.13085205841412115,2.6206896551724137,0.2506215829876022,-15.531744194999128,0.38053147970007734,0.04514197474361614
-4.758620689655173,0.025017226386114366,-0.8163652333608654,-0.13309865456535738,2.896551724137931,0.24204941368744967,-15.446224770088016,0.3668244555039678,0.03609222844404325
-4.758620689655173,0.020369423711335433,-0.8221774860726585,-0.13481871573478788,3.1724137931034484,0.23530597708631923,-15.372247165085927,0.3550838570151391,0.029386866574109494
-4.758620689655173,0.01685444903573563,-0.8267685062681585,-0.1361556294558439,3.4482758620689653,0.22988014527842132,-15.307538199942263,0.34487884326172363,0.02431583004077087
-4.758620689655173,0.014144210680967495,-0.8304655092198308,-0.1372068551703758,3.7241379310344827,0.22536958071263916,-15.250390051709855,0.33583359559081494,0.020405782606720546
-4.758620689655173,0.012027763489236953,-0.8334934247385922,-0.13805266461637902,4.0,0.22179055937038325,-15.199519297233282,0.3280317323985657,0.01735239473890715
-4.344827586206897,0.0001582410815037516,0.26253202300539114,-0.11867841732899757,-4.0,0.062163333103249,-53.53414607722076,0.1337374029626227,0.0002282936235502575
-4.344827586206897,0.0004240953259995184,0.22506957527006735,-0.0809257867177643,-3.7241379310344827,0.11965836307808678,-50.81015093672919,0.17752730696198357,0.0006118402236827691
-4.344827586206897,0.14793637418365502,0.09387076556945471,0.04822556326516002,-3.4482758620689653,0.24154797760974084,-48.074755911452336,0.20768841016199302,0.21342707340185374
-4.344827586206897,0.0022844525498915136,0.10400119225150743,0.03813374373413685,-3.1724137931034484,0.16511503414598558,-45.36894028360709,0.21850980874333262,0.0032957683648744407
-4.344827586206897,0.002034954002211098,0.18273264254742247,-0.0374816259539867,-2.896551724137931,0.16966781342338583,-42.65628862217278,0.22637962386822194,0.002935818047426597
-4.344827586206897,0.005004993293746152,0.14723226197546863,-0.0032444864676395464,-2.6206896551724137,0.18785404101042266,-39.95371070903891,0.2494563556504984,0.007220679004570574
