U,E_p,V,S,E_GS,Coh,E_p_bits
-6.0,0.046626461814855524,2.204081632653061,0.29518416002233805,-12.941894788850211,0.3775327015957468,0.06726776523449107
-6.0,0.03996239789142764,2.36734693877551,0.2880138875285614,-12.897663112510244,0.3681854283111376,0.05765355325999444
-6.0,0.03450306259544256,2.5306122448979593,0.2820800148032666,-12.85782800144076,0.35979068323124935,0.049777397301927095
-6.0,0.029987002573726107,2.693877551020408,0.2771281108265386,-12.821733968746777,0.35222634416037135,0.04326209990423946
-6.0,0.026190004836637693,2.857142857142857,0.27292269803538904,-12.788816243451965,0.3452635735404353,0.03778419009867484
-6.0,0.02311676033407739,3.020408163265306,0.2693921277711372,-12.758743914302592,0.338944932291357,0.03335043549539263
-6.0,0.01993783950011685,3.183673469387755,0.26311848790229175,-12.722273006473053,0.31878538258703487,0.028764222172858567
-6.0,0.01820266527341352,3.3469387755102042,0.26369521654847333,-12.705528088423163,0.3279144254815495,0.026260894920915323
-6.0,0.01622622610263358,3.510204081632653,0.26152594883932156,-12.681799037950467,0.32300592568053804,0.023409495930612145
-6.0,0.014605928496159049,3.673469387755102,0.2594525084199444,-12.659813910963273,0.3184478145867239,0.021071900608987004
-6.0,0.013109725800590777,3.836734693877551,0.2572299140906668,-12.639258465664598,0.3140844740773982,0.018913336399926095
-6.0,0.011984739822340273,4.0,0.25641857893795655,-12.61992405228268,0.31005462773886594,0.01729032470803471
-5.755102040816326,0.006759288990777934,-4.0,0.23382390391258792,-36.088815785229556,0.2533619538555662,0.009751592706930268
-5.755102040816326,0.006988792188079351,-3.836734693877551,0.23588736705057492,-35.12809584361872,0.25763814525016576,0.010082695831545418
-5.755102040816326,0.024857665918275096,-3.673469387755102,0.24476475288076882,-34.16448744690914,0.2640516965107073,0.035862031348370405
-5.755102040816326,0.00518721154786439,-3.510204081632653,0.2397075953158613,-33.21079525555237,0.26264955400398454,0.007483564376145502
-5.755102040816326,0.008095250224422257,-3.3469387755102042,0.243519522756592,-32.25492060588901,0.2723028728014731,0.011678977353529518
-5.755102040816326,0.00860064764458568,-3.183673469387755,0.24664395994961336,-31.300813617472343,0.2778476150083147,0.01240811170527678
-5.755102040816326,0.009280423240651814,-3.020408163265306,0.25015957807297007,-30.348904884791533,0.28385033664178855,0.013388820586638595
-5.755102040816326,0.02477182629347152,-2.857142857142857,0.2375332524869282,-29.1977182339825,0.22162139487520494,0.035738190947353754
-5.755102040816326,0.011010967731960308,-2.693877551020408,0.2584909887991718,-28.452903886962567,0.297119390146262,0.015885468542287562
-5.755102040816326,0.013504636892008648,-2.5306122448979593,0.2640018545850455,-27.509539559543402,0.3057480840074334,0.019483072673107227
-5.755102040816326,0.014029143826135959,-2.36734693877551,0.2692269334871873,-26.56992878812199,0.3128456804351169,0.020239776225884132
-5.755102040816326,0.015601072591520548,-2.204081632653061,0.27550633119446905,-25.634580463787252,0.32129000380061695,0.022507590060335314
-5.755102040816326,0.01797407664469275,-2.0408163265306123,0.28277590785775064,-24.704180432049633,0.33075295103698493,0.025931111239856364
-5.755102040816326,0.02012236281003088,-1.8775510204081634,0.29068376090535086,-23.779507967605824,0.3401751008798387,0.029030433037000147
-5.755102040816326,0.02468754633096304,-1.7142857142857142,0.30043169408997494,-22.861560529504562,0.3522434976697366,0.03561660066339689
-5.755102040816326,0.029457557417802427,-1.5510204081632653,0.3111254881422024,-21.951415247632774,0.3645244081423876,0.042498272003365756
-5.755102040816326,0.03566669320083293,-1.3877551020408163,0.3233361738515411,-21.050440928546852,0.378119470242596,0.051456161405750045
-5.755102040816326,0.04372560525518843,-1.2244897959183674,0.3372904863232891,-20.1602765902922,0.39324440830097956,0.06308271386152864
-5.755102040816326,0.05471150783699108,-1.0612244897959184,0.3535115479654077,-19.28296572882504,0.41055709091510373,0.07893202103598496
-5.755102040816326,0.07034478418133405,-0.8979591836734694,0.3729763028264707,-18.42121936365444,0.4310696767770331,0.101486071290815
-5.755102040816326,0.09428340379616951,-0.7346938775510204,0.398035328968887,-17.579090432585343,0.4567755708714352,0.13602219909486557
-5.755102040816326,0.13454423195102638,-0.5714285714285714,0.43463015524726245,-16.76391328890374,0.49129421252622196,0.19410629621595987
-5.755102040816326,0.20653234594998504,-0.40816326530612246,0.4967729729659781,-15.992273467509145,0.5388280445582523,0.29796319128520743
-5.755102040816326,0.311429785166234,-0.24489795918367346,0.595526232967518,-15.305003309994559,0.5870439012136265,0.4492982066444413
-5.755102040816326,0.371834088203822,-0.08163265306122448,0.6656451401170023,-14.761718948091714,0.6201270731059645,0.5364431950851238
-5.755102040816326,0.37396036155472756,0.08163265306122448,0.6671095415611619,-14.354108608032965,0.6200654657397259,0.5395107591040493
-5.755102040816326,0.3593627874882035,0.24489795918367346,0.6429831996107535,-14.026767834340408,0.6063248707899254,0.5184509113892655
