m_sdw,V,E_GS,E_p_bits,E_p,coh_1rdm,S,m_cdw,coh_2rdm,Q_2,U
6.408346076014482e-13,0.36363636363636365,-13.40699522103913,0.21258742113001228,0.1473543715787784,0.0,0.7454461862833109,6.679018449418095e-12,0.0,0.0,0.5454545454545454
4.2847669856627135e-16,0.4444444444444444,-12.052130890375789,0.21550436571054643,0.14937624349062517,0.0,0.7434361770451667,4.72261119099926e-13,0.0,0.0,0.6666666666666666
7.003373575509286e-13,0.5252525252525253,-10.709412825029371,0.218956229330717,0.15176889302662344,0.0,0.7411059053389532,2.6596780333676406e-13,0.0,0.0,0.7878787878787878
1.4275039483813146e-14,0.6060606060606061,-9.378293382332084,0.2228584484666709,0.15447370521863713,0.0,0.7384519651482097,2.349481720287372e-12,0.0,0.0,0.9090909090909091
9.026876468531952e-13,0.6868686868686869,-8.05833003116098,0.2271469143014393,0.1574462432209347,0.0,0.7354633122468428,1.6650639200754824e-12,0.0,0.0,1.0303030303030303
1.2831818940739481e-12,0.7676767676767676,-6.749169624742333,0.23177403794632712,0.1606535209294906,0.0,0.7321235778227567,1.2505274593621607e-13,0.0,0.0,1.1515151515151516
6.938893903907228e-17,0.8484848484848485,-5.4505345048323575,0.23670582955851094,0.1640719783805844,0.0,0.7284132064328839,4.466427228067005e-13,0.0,0.0,1.2727272727272727
1.7694179454963432e-16,0.9292929292929293,-4.162209938749611,0.24191951732292516,0.16768583135480863,0.0,0.7243115021103741,1.0063894162470888e-12,0.0,0.0,1.393939393939394
2.4898486050695112e-14,1.0101010101010102,-2.8840324942346927,0.24740141359809842,0.17148559230206706,0.0,0.7197986411377371,2.0203283490616286e-13,0.0,0.0,1.5151515151515151
1.6740948904914177e-13,1.0909090909090908,-1.6158790609806708,0.2531448506367049,0.17546663949210028,0.0,0.7148576677823313,2.072647609097089e-13,0.0,0.0,1.6363636363636365
4.967398020694347e-13,1.1717171717171717,-0.3576563398153896,0.25914807831753217,0.17962775983332557,0.0,0.709476437225549,1.4303766504575322e-12,0.0,0.0,1.7575757575757576
7.27456289650874e-14,1.2525252525252526,0.8907092591648995,0.2654120990429898,0.18396964813814565,0.0,0.7036494165864401,4.220235272356376e-14,0.0,0.0,1.878787878787879
3.1724275983968653e-13,1.3333333333333333,2.1292812471092777,0.27193847967539675,0.18849339047275926,0.0,0.6973792114534505,6.26484975008168e-13,0.0,0.0,2.0
1.214306433183765e-17,1.4141414141414141,3.358122045756307,0.2787272495742883,0.1931990071876455,0.0,0.6906776641069063,4.504313588782338e-13,0.0,0.0,2.121212121212121
3.0408488227440245e-13,1.494949494949495,4.577301088044653,0.2857750371415042,0.19808416126904715,0.0,0.6835663806163098,1.1934966903659472e-12,0.0,0.0,2.242424242424242
1.7732169899087324e-13,1.5757575757575757,5.786901749911655,0.2930736132635672,0.20314314873015782,0.0,0.6760765906345982,7.656375533571236e-14,0.0,0.0,2.3636363636363638
