U,E_p,m_cdw,m_sdw,V,S,E_GS,Coh,E_p_bits
-3.5,0.017902671697148875,0.38619744646077614,0.16855358857243477,-3.3333333333333335,0.2598580211307374,-27.744616527031976,0.31187682791554355,0.025828095676140084
-3.5,0.0142559459173488,0.38690097479102226,0.1637315055983885,-3.0,0.26701405258785793,-25.80840397790877,0.32468003573537196,0.020566982478140705
-3.5,0.0163292281884051,0.38604584699249406,0.15559832493843212,-2.6666666666666665,0.27905317144550396,-23.884691889433473,0.34407248600802515,0.02355809652895635
-3.5,0.01787451937120932,0.3854300395377147,0.14502598312464668,-2.3333333333333335,0.29400012593438757,-21.97763342140372,0.3661907711539601,0.02578748045511725
-3.5,0.021274510192414553,0.38433843948126806,0.13037216170921395,-2.0,0.31396877156398517,-20.093049460957825,0.39341484353955253,0.030692630351937922
-3.5,0.026773690822390117,0.3824995674929018,0.11023033034861325,-1.6666666666666667,0.34033277972778536,-18.239486271946863,0.42649611698890755,0.03862627097575633
-3.5,0.038120063809293114,0.37778098240953556,0.08220210908014076,-1.3333333333333333,0.3763607972511824,-16.429822008856934,0.46874280561615395,0.05499562701603811
-3.5,0.06204581133248932,0.36468118081857037,0.04400221003969991,-1.0,0.4275630162431482,-14.684887295057283,0.5250193687716277,0.08951318431731492
-3.5,0.11666721201626595,0.3239771306953847,-0.005402049768529682,-0.6666666666666666,0.5096574007090591,-13.045949421923286,0.604500200565719,0.1683152082102084
-3.5,0.21192706894394076,0.20057725827852746,-0.055496886815705596,-0.3333333333333333,0.6387826478366402,-11.621321119308396,0.6878178555244789,0.3057461313955572
-3.5,0.2537151217523932,2.2549329183885192e-7,-0.0778274351893004,0.0,0.6965215665748071,-10.571841961678109,0.7256207924836764,0.3660335479507171
-3.5,0.2537407765214097,-0.19169894748278177,-0.09246278499547227,0.3333333333333333,0.6623660211374526,-9.828295585774857,0.693321296042416,0.3660705599587528
-3.5,0.2200713835499608,-0.3729892128528478,-0.11453356314519739,0.6666666666666666,0.5895591378765838,-9.273973712815865,0.6372878173462949,0.3174958936891019
-3.5,0.16427346684379396,-0.5170318717108571,-0.13785992093361255,1.0,0.5035202559249148,-8.867312798040727,0.5749431512333775,0.236996515965179
-3.5,0.11323390084623264,-0.611168408918519,-0.15629387646961843,1.3333333333333333,0.43150214798659936,-8.573673513519838,0.5213686870139647,0.1633619872113723
-3.5,0.07708168032431595,-0.6683564136365059,-0.16906381183324715,1.6666666666666667,0.38048784743002384,-8.358563872092052,0.4764223543747765,0.11120535794727893
-3.5,0.05351928500796399,-0.7036101122256759,-0.17761638815992803,2.0,0.3458277251270486,-8.196171012512012,0.4407181977638077,0.07721200707291276
-3.5,0.03828239883653883,-0.726371816531018,-0.18338553654073755,2.3333333333333335,0.32196601310785855,-8.06964712055256,0.4124622026076394,0.055229826954808825
-3.5,0.02824194425053661,-0.7417947945195844,-0.18737203729594204,2.6666666666666665,0.3050824553465082,-7.968278518479943,0.3897765324245961,0.04074451291531167
-3.5,0.021426348332438172,-0.7526912695572114,-0.19028416593566952,3.0,0.2928605770676497,-7.885058156615132,0.37126441977928787,0.030911686483568346
-3.5,0.016556575878532653,-0.7609586242544463,-0.1923911945834867,3.3333333333333335,0.28372645215638254,-7.8146423714504785,0.35471252093199496,0.02388608991406116
-3.5,0.01300292379806578,-0.7668834653853213,-0.19362039208561765,3.6666666666666665,0.2746830948709433,-7.756390851097309,0.3418887680614706,0.018759253680526555
-3.5,0.010864341807611755,-0.7720993382770354,-0.19484297395837127,4.0,0.2703694888910039,-7.7020320890717135,0.3263224278986287,0.015673932048364758
-3.0,0.012430140446402893,0.3866785003381868,0.17760078248777073,-4.0,0.2474981952150058,-30.664552852753506,0.2899608906428917,0.01793290197957864
-3.0,0.01579104432432832,0.3849924035870479,0.17308696285154745,-3.6666666666666665,0.2552725925358352,-28.713231292346954,0.3055414981891006,0.02278166133716608
-3.0,0.016270325196479307,0.3840819093800098,0.16835878574528118,-3.3333333333333335,0.2631928819842989,-26.769905449195516,0.32020270445246135,0.02347311747461145
-3.0,0.01771896184667221,0.3828016612289896,0.16192529873157346,-3.0,0.27357546558577106,-24.836888939458454,0.33811561327905904,0.025563058385894344
-3.0,0.019239275115074728,0.3814392136191788,0.15351653326833845,-2.6666666666666665,0.2866349680129243,-22.91726693296567,0.35896438145861165,0.027756406798816524
