U,V,magnetization,charge_density
-5.755102040816326,-1.7142857142857142,"0.03427718561221883, 0.40658223243763125, 0.11828119331969955, 0.40658158430968205, 0.03427780432076854","0.05843202070247501, 1.5029449544638949, 1.8772406782199336, 1.5029483321990205, 0.05843401441467704"
-5.755102040816326,-1.5510204081632653,"0.038950189405826875, 0.39424211466820414, 0.1336153371111901, 0.3942444885692975, 0.03894787024548129","0.06554762378719857, 1.5040977723001352, 1.8607250174954109, 1.5040886021718451, 0.06554098424541369"
-5.755102040816326,-1.3877551020408163,"0.04448197813541739, 0.3799004486137787, 0.15123892568411912, 0.37991928977160694, 0.0444593577950778","0.07431612282975705, 1.5050973164625376, 1.8413757004898725, 1.5049808164964356, 0.074230043721395"
-5.755102040816326,-1.2244897959183674,"0.050991985775984974, 0.36333754049888434, 0.17134094911337971, 0.3633375639118279, 0.05099196069992251","0.0851616764927184, 1.5055146618062332, 1.8186474724251782, 1.5055145864225645, 0.08516160285330407"
-5.755102040816326,-1.0612244897959184,"0.05872681606863694, 0.3442502592359554, 0.19404585379672168, 0.3442502736080638, 0.05872679729062225","0.09933528327721386, 1.5048315433431796, 1.7916665025898992, 1.504831464504666, 0.099335206285041"
-5.755102040816326,-0.8979591836734694,"0.06795105562458145, 0.3224127074586415, 0.21927216801477822, 0.32241234565385835, 0.06795172324814053","0.11885839067762691, 1.5016812613552402, 1.7589137821661083, 1.5016848323381324, 0.11886173346289114"
-5.755102040816326,-0.7346938775510204,"0.07911987431288783, 0.29759975868804567, 0.2465607322782848, 0.29759975763338176, 0.07911987708739995","0.14842083104402673, 1.4931024747396977, 1.7169533535673973, 1.4931024925542926, 0.14842084809458445"
-5.755102040816326,-0.5714285714285714,"0.09309791499441028, 0.2696499092323642, 0.27450435210456825, 0.269649910498024, 0.09309791317063404","0.2000194320454058, 1.4716991968993707, 1.656562766897704, 1.4716991878551249, 0.20001941630239622"
-5.755102040816326,-0.40816326530612246,"0.11149819342736492, 0.2390665962591234, 0.2988704203156225, 0.2390665961312144, 0.11149819386667484","0.307000974184484, 1.4175240965290887, 1.5509498507208903, 1.417524099078177, 0.3070009794873596"
-5.755102040816326,-0.24489795918367346,"0.1346214533860848, 0.21053710532101388, 0.30968288283938494, 0.21053710550978488, 0.13462145294373132","0.5388883389208912, 1.2886053190969078, 1.3450126951984676, 1.288605318219714, 0.5388883285640199"
-5.755102040816326,-0.08163265306122448,"0.15209626292090372, 0.19402098632289788, 0.3077655015192967, 0.19402098632718656, 0.15209626290971529","0.8653926128038874, 1.0917082970802354, 1.0857981806784958, 1.0917082972428616, 0.8653926121945208"
-5.755102040816326,0.08163265306122448,"0.15785877201760867, 0.18445790006057905, 0.315366655597041, 0.18445790006537044, 0.15785877225940076","1.1057355404409828, 0.918873455200077, 0.9507820139008109, 0.9188734592693025, 1.105735531188827"
-5.755102040816326,0.24489795918367346,"0.15999830332481868, 0.17255190823595062, 0.3348995758637866, 0.1725519083719642, 0.15999830420348038","1.2634507326334783, 0.7749568019880801, 0.9231849355661096, 0.7749568066485465, 1.2634507231637864"
-5.755102040816326,0.40816326530612246,"0.1619201754348374, 0.15682420739028372, 0.3625112350531837, 0.15682420729540697, 0.16192017482628784","1.3864122667584844, 0.6418669582499207, 0.9434415483113366, 0.6418669566440292, 1.386412270036228"
-5.755102040816326,0.5714285714285714,"0.16380973195770632, 0.13850440927368873, 0.3953717170069069, 0.13850440934250377, 0.16380973241919394","1.4887303618631664, 0.5194510679345778, 0.9836371412080358, 0.5194510686162442, 1.4887303603779758"
-5.755102040816326,0.7346938775510204,"0.16547939488173347, 0.1195386951021011, 0.4299638195178469, 0.11953869516007898, 0.16547939533823952","1.5709751689677875, 0.41387604180075654, 1.0302975790726898, 0.41387604221547925, 1.570975167943288"
