U,quantum_coherence_1rdm_GS,energy_GS,V,quantum_coherence_2rdm_GS,von_neumann_1rdm_GS,von_neumann_2rdm_GS
-5.878787878787879,0.6313742729969514,-12.40283759526719,3.8181818181818183,1.5233513977910116,0.013270786152351555,0.020618325900134682
-5.878787878787879,0.6253224669655727,-12.38822392143202,3.9393939393939394,1.503021634140441,0.012320487402770253,0.019132848803049995
-5.878787878787879,0.6195666633179934,-12.37430364518631,4.0606060606060606,1.4837768755684546,0.01146282023765588,0.017792704189724784
-5.878787878787879,0.6140846892544549,-12.361025847525958,4.181818181818182,1.465530343047246,0.010686752170265823,0.016580520412202926
-5.878787878787879,0.6088549953651419,-12.34834465202625,4.303030303030303,1.448200202373727,0.009982775830436053,0.015481340322927473
-5.878787878787879,0.6038601083027462,-12.33621860475644,4.424242424242424,1.4317228041634409,0.009342635152063572,0.014482178254288769
-5.878787878787879,0.5990836216883935,-12.324610143849565,4.545454545454546,1.416034003217955,0.008759231207872364,0.013571879283154065
-5.878787878787879,0.5945109200195193,-12.313485144092509,4.666666666666667,1.4010733230183,0.00822640315308898,0.012740766321921448
-5.878787878787879,0.5901287123225485,-12.302812524460677,4.787878787878788,1.3867900175837748,0.007738749795555,0.011980358881317876
-5.878787878787879,0.5859247981350161,-12.29256390869523,4.909090909090909,1.373137836242076,0.007291547156107692,0.011283243352256722
-5.878787878787879,0.5818880000877753,-12.2827133307518,5.03030303030303,1.3600746434716458,0.0068806466524891086,0.010642911802923205
-5.878787878787879,0.5780080558030871,-12.273236978339636,5.151515151515151,1.3475619602588633,0.006502394274641388,0.010053634362147346
-5.878787878787879,0.5742755256871834,-12.264112968912746,5.2727272727272725,1.3355645728136203,0.006153565554658735,0.009510356493899863
-5.878787878787879,0.5706817270613056,-12.255321153406873,5.393939393939394,1.3240502285392646,0.005831309691401332,0.009008610825098184
-5.878787878787879,0.5672186812677127,-12.246842943773824,5.515151515151516,1.312989383317793,0.005533101509755056,0.00854444138581556
-5.878787878787879,0.5638790687704791,-12.238661160999412,5.636363636363637,1.302354991500211,0.0052567000529433194,0.008114338394607845
-5.878787878787879,0.5606561755357744,-12.230759900798548,5.757575757575758,1.2921222939237464,0.005000111447711175,0.007715179878700518
-5.878787878787879,0.5575438175732705,-12.223124414616954,5.878787878787879,1.2822685569860854,0.004761557020816376,0.007344181576880882
-5.878787878787879,0.554536247302694,-12.215741003926652,6.0,1.2727727376114655,0.004539449502429127,0.006998859461521789
-5.757575757575758,0.43837712270181917,-47.93472122113132,-6.0,1.0002205631548113,0.013063422968576877,0.01989467553607671
-5.757575757575758,0.4380228734455135,-47.21549417616779,-5.878787878787879,0.9880227892498972,0.006953860828222691,0.01055502677482556
-5.757575757575758,0.43948775429541564,-46.495398181485065,-5.757575757575758,0.9898938606054903,0.005835811794432599,0.008851903861201382
-5.757575757575758,0.4427836377707788,-45.775547398351925,-5.636363636363637,0.9984304641549537,0.005723615411087124,0.008681736522496042
-5.757575757575758,0.4464889212540766,-45.055975342880664,-5.515151515151516,1.0083521116205894,0.005762193735493026,0.008741336873804073
-5.757575757575758,0.45033731505547625,-44.33669886386082,-5.393939393939394,1.0186966231364116,0.00581040205487926,0.008815782127526539
-5.757575757575758,0.45432360938957883,-43.617736025243474,-5.2727272727272725,1.0294409650566199,0.005862425758997647,0.008896221528861492
-5.757575757575758,0.4584545753365139,-42.89910640706976,-5.151515151515151,1.0406055060445283,0.00591831136169052,0.008982736129466318
-5.757575757575758,0.4627385175943597,-42.1808312663869,-5.03030303030303,1.0522172722577698,0.005978705599061662,0.009076324696648097
-5.757575757575758,0.4671844825925575,-41.46293371819022,-4.909090909090909,1.0643039054331775,0.006044408914536392,0.009178221975700396
-5.757575757575758,0.47180223985715064,-40.74543893964786,-4.787878787878788,1.0768959818584714,0.006116360180822289,0.009289875230310773
-5.757575757575758,0.47660233061143686,-40.028374401023896,-4.666666666666667,1.0900269752630853,0.006195657068072791,0.009412975076701802
-5.757575757575758,0.4815961378065323,-39.31177012727457,-4.545454545454546,1.103733286015002,0.006283585270851821,0.009549499748667145
-5.757575757575758,0.4867959727192407,-38.59565899494901,-4.424242424242424,1.11805458243682,0.0063816571967512115,0.009701773696585647
-5.757575757575758,0.4922151951354554,-37.88007706978816,-4.303030303030303,1.1330342757846772,0.006491669258957389,0.009872554884478468
-5.757575757575758,0.49786830987024344,-37.165063991301764,-4.181818181818182,1.1487199225309692,0.006615751152026839,0.010065109841678854
-5.757575757575758,0.5037710243469393,-36.45066341165636,-4.0606060606060606,1.165163500394052,0.0067564031909548294,0.010283270878399087
-5.757575757575758,0.509940363231641,-35.73692349742017,-3.9393939393939394,1.1824219158741518,0.006916569999896538,0.010531549130569307
-5.757575757575758,0.5163948204420609,-35.02389750413202,-3.8181818181818183,1.2005576783270808,0.0070997411269089206,0.010815289389237037
-5.757575757575758,0.5231545039216934,-34.31164443530918,-3.696969696969697,1.2196395834030709,0.007310059658010015,0.011140838155656141
-5.757575757575758,0.5302412779012022,-33.600229799406456,-3.5757575757575757,1.2397434335978548,0.007552445591268553,0.011515735587475984
-5.757575757575758,0.5376789136875697,-32.889726480429566,-3.4545454545454546,1.2609528493813125,0.007832743454491142,0.011948946344817912
-5.757575757575758,0.5454932556791867,-32.18021574037355,-3.3333333333333335,1.2833602123269974,0.008157901265161804,0.012451141846111291
-5.757575757575758,0.5537124049315754,-31.47178837446326,-3.212121212121212,1.307067770933766,0.008536185416925912,0.013035041429167116
-5.757575757575758,0.5623669142343237,-30.76454604325416,-3.090909090909091,1.3321889121697896,0.00897743109870519,0.01371577722310402
-5.757575757575758,0.5714899864557843,-30.058602809030315,-2.9696969696969697,1.3588501034988694,0.009493326483477782,0.014511344917281122
